name,from_lat,from_lon,to_lat,to_lon,free_from,distance,reverse_distance
Innenstadt,51.3351781,12.357336202097295,51.3428087,12.3571118,2023-07-19 00:00:36,848.6271839382235,0.0011783737534299817
Südvorstadt,51.3351781,12.357336202097295,51.3225214,12.3746133,2023-07-19 00:00:36,1849.772875394085,0.00054060691088194
Plagwitz,51.3351781,12.357336202097295,51.3281994,12.3382998,2023-07-19 00:00:36,1533.414340050982,0.0006521394602105734
Schleußig,51.3351781,12.357336202097295,51.3237026,12.3416294,2023-07-19 00:00:36,1679.0318024680976,0.0005955813335578559
Lindenau,51.3351781,12.357336202097295,51.3329859,12.3328978,2023-07-19 00:00:36,1715.1988968250894,0.0005830227630457582
Karl-Heine,51.3319631,12.330096,51.3301795,12.32212,2023-07-07 00:00:36,588.5677795566925,0.0016990396598896343
Lindenauer,51.3319631,12.330096,51.334225599999996,12.298047180832125,2023-07-07 00:00:36,2240.717127217472,0.0004462856948131612
Palmengarten,51.3319631,12.330096,51.335992250000004,12.344426023058885,2023-07-07 00:00:36,1091.7065120116984,0.0009159971008666881
Gohlis,51.36425615,12.35690931179079,51.36706,12.3766732,2023-06-06 00:00:36,1407.070104551274,0.000710696643163283
Leipzigs,51.36425615,12.35690931179079,51.341174949999996,12.377320051717579,2023-06-06 00:00:36,2931.8960374075996,0.0003410762139042986
Rosental,51.36425615,12.35690931179079,51.34999295,12.363226166008772,2023-06-06 00:00:36,1645.5313919547725,0.0006077064253463267
Auwald,51.36425615,12.35690931179079,51.3698502,12.383318635685393,2023-06-06 00:00:36,1936.0405445877748,0.0005165181084639536
Zoo,51.36425615,12.35690931179079,51.3484977,12.371569,2023-06-06 00:00:36,2026.4812590157442,0.0004934661969120291
Hauptbahnhof/,51.36425615,12.35690931179079,51.3439179,12.3801743,2023-06-06 00:00:36,2779.294069760542,0.00035980359576925154
Innenstadt,51.36425615,12.35690931179079,51.3428087,12.3571118,2023-06-06 00:00:36,2384.8890826815946,0.00041930671210737793
adler,51.3192684,12.3285769,51.3202047,12.3307304,2023-06-06 00:00:36,182.3072439566774,0.005485245557426314
Bayerischen Bahnhof,51.330141,12.3844705,51.32720155,12.3871659713826,2023-07-01 00:00:36,376.705279712485,0.0026545951274249088
Clara-Zetkin-Park,51.330141,12.3844705,51.33050505,12.358850998005359,2023-07-01 00:00:36,1780.4487790673031,0.0005616561463362372
Sachsenbrücke,51.330141,12.3844705,51.330309,12.354251167391846,2023-07-01 00:00:36,2099.6625743421505,0.00047626700224121107
Connewitz,51.306476200000006,12.3810370300906,51.3032502,12.3720368,2023-06-06 00:00:36,721.2016186291899,0.0013865748137126077
Karl-Liebknecht-Straße,51.32371645,12.3725912502507,51.3206349,12.3736195,2023-08-01 00:00:36,350.02352046027715,0.0028569508662875305
Südplatz,51.32371645,12.3725912502507,51.2777287,12.373672483961474,2023-08-01 00:00:36,5114.156961874806,0.00019553564887719218
Südplatz,51.32371645,12.3725912502507,51.2777287,12.373672483961474,2023-08-01 00:00:36,5114.156961874806,0.00019553564887719218
Kurt-Eisner-Straße,51.32371645,12.3725912502507,51.3207111,12.3741034,2023-08-01 00:00:36,350.3109494236822,0.0028546067476485125
Clara-Zetkin-Park,51.32371645,12.3725912502507,51.33050505,12.358850998005359,2023-08-01 00:00:36,1217.0794356425058,0.0008216390571681068
Hinterhaus,51.32371645,12.3725912502507,51.321254249999996,12.379100262363536,2023-08-01 00:00:36,528.7170836414004,0.001891370698886372
Stadtteilzentrum,51.3364247,12.3290193,51.3266001,12.385042815042084,2023-07-05 00:00:36,4042.695570725863,0.00024735970901228427
Georg Schwarz Straße,51.3364247,12.3290193,51.3536062,12.3025114,2023-07-05 00:00:36,2653.24799221232,0.0003768965445126689
Lindenauer,51.3364247,12.3290193,51.334225599999996,12.298047180832125,2023-07-05 00:00:36,2165.492695087685,0.0004617886738978392
Innenstadt,51.3364247,12.3290193,51.3428087,12.3571118,2023-07-05 00:00:36,2076.5163551058267,0.0004815757879976035
Lindenau,51.3364247,12.3290193,51.3329859,12.3328978,2023-07-05 00:00:36,467.77390249729154,0.0021377849312698457
Plagwitz,51.3364247,12.3290193,51.3281994,12.3382998,2023-07-05 00:00:36,1119.0316119600916,0.0008936298039412878
Karl-Heine-Straße,51.3364247,12.3290193,51.3321577,12.3487401,2023-07-05 00:00:36,1449.8731208627153,0.0006897155244901512
Innenstadt,51.3364247,12.3290193,51.3428087,12.3571118,2023-07-05 00:00:36,2076.5163551058267,0.0004815757879976035
Hauptbahnhof,51.3364247,12.3290193,51.3439179,12.3801743,2023-07-05 00:00:36,3649.756329200402,0.0002739908941315769
Sellerhausen,51.3414713,12.4278391,51.3432833,12.4276634,2023-07-01 00:00:36,201.85447130076827,0.0049540641510485775
Emmauskirche,51.3414713,12.4278391,51.12528675,12.497115598663754,2023-07-01 00:00:36,24517.75028651797,4.078677645028013e-05
Hauptbahnhof,51.3414713,12.4278391,51.3439179,12.3801743,2023-07-01 00:00:36,3321.9138806127917,0.00030103128375366867
Bahnhof Sellerhausen,51.3414713,12.4278391,51.3445309,12.4450686,2023-07-01 00:00:36,1244.1567810168613,0.0008037572235732946
Stünzer Park,51.3414713,12.4278391,51.3352547,12.433004854221693,2023-07-01 00:00:36,778.8457442374449,0.0012839512925362179
Innenstadt,51.3399168,12.4053717,51.3428087,12.3571118,2023-08-01 00:00:36,3367.5758783265896,0.00029694950793415184
Lene-Voigt-Park,51.3399168,12.4053717,51.3342895,12.399465057699512,2023-08-01 00:00:36,748.262830375007,0.0013364288047006557
Connewitz,51.3052032,12.3831559,51.3032502,12.3720368,2023-07-15 00:00:36,802.8974252860223,0.0012454891104474054
Leipziger Zentrum-Süd,51.339972,12.368894,51.3321993,12.3750343,2023-07-10 00:00:36,963.8168038284701,0.0010375415701695623
Karl-Liebknechtstraße,51.339972,12.368894,51.3206349,12.3736195,2023-07-10 00:00:36,2175.108852348951,0.00045974710595291657
Südvorstadt,51.339972,12.368894,51.3225214,12.3746133,2023-07-10 00:00:36,1980.6855282297747,0.0005048757037639103
Clara-Zetkin-Park,51.339972,12.368894,51.33050505,12.358850998005359,2023-07-10 00:00:36,1262.8943218234801,0.0007918318918055711
Innenstadt,51.339972,12.368894,51.3428087,12.3571118,2023-07-10 00:00:36,877.0861308870228,0.0011401388812164557
A 10,51.3293096,12.3833921,51.3406321,12.3747329,2023-08-01 00:00:36,1395.3383451440939,0.0007166720555484569
Zentrum Nord,51.3605894,12.3757653,51.3530028,12.3762329,2023-06-01 00:00:36,844.2160526939351,0.0011845308991803112
Zentrum West,51.33761695,12.355122391293555,51.3374495,12.3605422,2023-08-01 00:00:36,376.95770595158234,0.0026528175023657515
Jahnallee,51.33761695,12.355122391293555,51.3430902,12.3645628,2023-08-01 00:00:36,894.6547148408366,0.001117749656277064
Marschner Straße,51.33761695,12.355122391293555,51.3355899,12.3576988,2023-08-01 00:00:36,287.8151359134411,0.003474452435679911
Einertstraße,51.34609945,12.398499516274512,51.3466625,12.3988397,2023-07-15 00:00:36,66.91810734044213,0.014943638422296611
Eisenbahnstraße,51.34609945,12.398499516274512,51.345619400000004,12.404487316089803,2023-07-15 00:00:36,419.2903098664801,0.002384982377289956
Breslauer Str.,51.324045,12.4156933,51.3207565,12.415244,2023-07-01 00:00:36,366.99501275516593,0.0027248326686856966
Reudnitz,51.3278958,12.4089156,51.335919,12.3995116,2023-06-15 00:00:36,1105.7915711396615,0.000904329555496042
Lene-Voigt-Park,51.3278958,12.4089156,51.3342895,12.399465057699512,2023-06-15 00:00:36,967.7600121289966,0.0010333140318539076
Friedenspark,51.3278958,12.4089156,51.32741475,12.3946794131321,2023-06-15 00:00:36,990.6027807082451,0.0010094863647415126
Südvorstadt,51.3278958,12.4089156,51.3225214,12.3746133,2023-06-15 00:00:36,2457.2921552547787,0.0004069520174316909
Barcelona,51.3278958,12.4089156,51.3409053,12.3681369,2023-06-15 00:00:36,3180.930145120313,0.0003143734550518326
Innenstadt,51.3361134,12.3266607,51.3428087,12.3571118,2023-09-01 00:00:36,2242.445886068857,0.00044594164176378875
Karl-Heine Kanal,51.3361134,12.3266607,51.3301795,12.32212,2023-09-01 00:00:36,731.3522404052995,0.001367330192966691
Auwald,51.3361134,12.3266607,51.3698502,12.383318635685393,2023-09-01 00:00:36,5436.286573738919,0.00018394909584617964
Karl Heine Straße,51.3361134,12.3266607,51.3321577,12.3487401,2023-09-01 00:00:36,1595.721580539134,0.0006266757385471579
Kreuzberg,51.3361134,12.3266607,52.497893,13.3799669,2023-09-01 00:00:36,148007.32579056514,6.756422323412763e-06
