Street,Address,rent_cold,additional_cost,free_from,distance,gadgets,female_roommates,male_roommates,divers_roommates,room_description,location_description,flat_live,additional,smoker,accessible,kind_of_flat,Url,type,district,size,price,link
 Das Zimmer wird für 492€ warm vermietet. Eine Abschlagszahlung von 100€ kommt noch drauf, that‘s it."," Bei der Lager der Wohnung macht sich jeder Cent bezahlt. Sie liegt in der besten Gegend Leipzigs, der Südvorstadt. Man schaut direkt auf den nebenan gelegenen Clara-Zetkin-Park und ist in 5 min mit dem Rad in der Innenstadt. Die nächste S-Bahn Haltestelle ist der Südplatz und wird in 5 min zu Fuß erreicht. Die Karli, Leipzigs bekannteste Kneipenstraße, ist ebenso nur 5 min zu Fußentfernt. Optimale Voraussetzungen für einen Aufenthalt in der Stadt!","In der WG leben Emily, Celine und Carlo. Das Zusammenleben ist ruhig, alle ackern tagsüber ihre To-Do Listen ab. Es gibt einen Putzplan. 
 Emily (aus Lübeck) ist die Entspanntheit in Person, steht auf verrückte Kaffe-Kreationen, ist unternehmenslustig und studiert gerade Communication Management im Master an der Uni. Sie fragt immer wie dein Tag war! 
 Celine (aus Berlin) ist durch die Hauptstadt mit allen Wassern gewaschen. Gute Laune und Energie sind immer mit dabei, das Dauergrinsen im Gesicht. Sie bedankt sich, wenn man aufmerksam ist und die Tür aufhält. Aktuell studiert sie Medizin an der Uni. 
 Carlo (aus Essen) kann nicht ohne seine Proteine leben und sonnt sich gerne in seinem Zimmer. Er kann Tipps bei der Suche nach einem guten Friseur geben. Ab und zu sieht man ihn der HTWK in seinemStudiengang Wirtschaftsingenieur für Bauwesen."," Wenn du lässig bist, Sauberkeit irgendwie eine Rolle spielt, du gerne mal mit anderen zusammensitzt, oder einfach in deinem Zimmer ruhe haben willst - dann klingt das schon mal sehr vielversprechend. 
 Schreib gerne eine kurze Nachricht über dich und warum du in Leipzig bist und verwende das Wort „fetzig“. 
 Und weil‘s ja doch einen ersten Eindruck mit sich bringt hilft es, wenn du noch ein Bild, oder dein Social-Media Kanal mit hinzufügst. 
 Wir freuen uns dich kennenzulernen. Beste Grüße😃",0.0,1,Studenten-WG,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Suedvorstadt.10158929.html,4er WG,Südvorstadt,    15,492 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Suedvorstadt.10158929.html

Eduardstraße 8,04229 Leipzig Plagwitz,450,30,14.06.2023,2,"Waschmaschine,Fahrradkeller,Aufzug",,,," Wir bieten clever möblierte Apartments für Studierende oder Auszubildende. 
 Preis inkl. Ausstattung mit Bett und Matratze, Fernseher, Schreibtisch, Stuhl, Steh- und Schreibtischlampe, Regalen, Kleiderschrank, Vorhängen, Deckenlampen, Küchenzeile mit Mikrowelle, Cerankochfeld, Dunstabzugshaube, Kühlschrank, Spüle und Küchenschrank. 
 Weitere Details findest Du auf unserer Website: https://www.smartments-student.de/standorte/leipzig-joachim-wach-haus 
 Wir freuen uns über Deine Anfrage! 
 We offer smartly furnished flats for students or trainees. 
 Price includes furnishings with bed and mattress, TV, desk, chair, standing and desk lamp, shelves, wardrobe, curtains, ceiling lamps, kitchenette with microwave, ceramic hob, extractor bonnet, fridge, sink and kitchen cupboard. 
 Further details can be found on our website: https://www.smartments-student.de/standorte/leipzig-joachim-wach-haus 
 We look forward to your enquiry!"," Das Joachim-Wach-Haus liegt in zentraler Lage im besonders bei Studenten beliebten Stadtteil Plagwitz. Der erholsame Clara-Zetkin-Park befindetsich in unmittelbarer Nähe und lädt zum Grillen, Freunde treffen und Spazierengehen ein. In weniger als zehn Fahrradminuten gelangst Du in die angesagte Südvorstadt - mit jeder Menge Cafés, Bars, Restaurants und Einkaufsmöglichkeiten. 
 The Joachim Wach House is centrally located in the Plagwitz district, which is particularly popular with students. The relaxing Clara Zetkin Park is in the immediate vicinity and invites you to barbecue, meet friends and go for a walk. In less than ten minutes by bike, you can reach the trendy Südvorstadt district - with lots of cafés, bars, restaurants and shopping opportunities.",," Wenn wir Dein Interesse geweckt haben, bewerbe Dich gerne über unsere Website: https://www.smartments-student.de/anfrage 
 If we have piqued your interest, please feel free to apply via our website: https://www.smartments-student.de/anfrage",,1,,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Leipzig-Plagwitz.9498600.html,1-Zimmer-Wohnung  ,Plagwitz,    16,480 ,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Leipzig-Plagwitz.9498600.html

Paulinenstr.,04315 Leipzig Volkmarsdorf,799,250,01.09.2023,1,"Waschmaschine,Spülmaschine,Gartenmitbenutzung,Keller",,,," Guten Tag, 
 ich biete eine komplette Wohnung an, schöne 2 Raumwohnung mit Bad inkl.Waschmaschine (Bosch)! und Küche inkl.Spüle, Kühlschrank (Bosch), Herd(Bomann) und Geschirrspüler(Siemens).Die Wohnung befindet sich in einem sanierten Altbau.  
 Das Haus steht in einer ruhigen  Seitenstrasse (Paulinenstraße) mit zwei Straßenbahnhaltestellen in unmittelbarer Nähe (ca. 150 m, direkte Verbindung zum HBF und zur Uni).Citynah, beste Straßenbahnverbindung Linie 7, 8.  
 Die S-Bahn ist in wenigen Minuten zu Fuß erreichen. 
 Die Wohnung liegt im 2. Obergeschoß.  Der Grundriss ist sehr praktisch.  
 Beide Zimmer, Küche und Bad(mit Badewanne + Waschmaschine) verfügen über große Kunststoff-Fenster und Zentralheizung.  
 Kaltmiete: 799€ 
 Nebenkostenvorauszahlung: 250 € 
 Gesamtmiete:  1049 € 
 Insgesamt eine schöne Wohnung in gutem Zustand. 
 Die Miete bezieht sich auf die gesamte Wohnung.",,,,,0,,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Volkmarsdorf.2439364.html,2-Zimmer-Wohnung  ,Volkmarsdorf,    58,1049 ,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Volkmarsdorf.2439364.html

Paulinenstr. 9,04315 Leipzig Volkmarsdorf,799,250,01.10.2023,1,"Waschmaschine,Spülmaschine,Gartenmitbenutzung",,,," Guten Tag, 
 ich biete eine komplett neu renovierte 2 ZKB Altbauwohnung an,  
 eine schöne 2 Raumwohnung mit Bad (inkl. neuer Bosch Waschmaschine) und Küche (inkl.Edelstahl-Spültisch, neuem Bosch Kühlschrank,  Herd und  neuer Bosch Geschirrspülmaschine). 
 Die Wohnung befindet sich in einem sanierten Altbau.  
 Das Haus liegt in der Paulinenstraße, einer ruhigen Seitenstrasse mit zwei Straßenbahnhaltestellen in unmittelbarer Nähe (ca. 150 m Entfernung, direkte Verbindung zum HBF und zur Uni).  
 Citynah, ca. 3 km zur City & Uni, beste Straßenbahnverbindung Linie 7, 8. 
 Die S-Bahn Station Leipzig-Sellerhausen ist in wenigen Minuten zu Fuß erreichen. 
 Die Fahrtzeit zum Hbf Leipzig beträgt 4 Minuten. 
 Die Wohnung liegt im Hochparterre,  ist hell und ruhig.  
 Der Grundriss ist quadratisch praktisch, beide Zimmer sind in etwa gleich groß.  
 Beide Zimmer , Küche und Bad (mit Badwanne und Duschkabine) verfügen über große Isolier-Fenster und Zentralheizung. Die Wohnung ist komplett neu saniert. 
 Kaltmiete: 799 €  
 Nebenkostenvorauszahlung:  250 €  
 Gesamtmiete:  1049 € 
 Bei den Nebenkosten handelt es sich um eine Vorauszahlung. 
 Es gibt jedes Jahr eine Abrechnung. Bei normalem Verbrauch kann man mit 250 €/ Monat rechnen.  
 Ist der tatsächliche Verbrauch geringer als die Nebenkostenvorauszahlung, bekommt der Mieter die Ersparnis wieder rückerstattet. 
 Dies wird im Mietvertrag auch vereinbart.  
 Insgesamt eine schöne Wohnung in gutem Zustand. 
 Die Miete bezieht sich auf die gesamte Wohnung. 
 Es fallen keine Maklerprovisionen an. 
 Sehr interessantes und beliebtes Viertel bei Studenten und jungen Leuten.  
 Im Haus wohnen bereits einige Studenten. 
 Es entstehen auch immer mehr Cafes, Kneipen, internationale Gastronomie, Clubs und Partys. 
 Erstanfragen bitte per Email. 
 I speak english, je parle un peu français."," Sehr interessantes und beliebtes Viertel bei Studenten und jungen Leuten. Es entstehen auch immer mehr Cafes, Kneipen, internationale Gastronomie, Clubs und Partys.",,,,0,,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Volkmarsdorf.3260928.html,2-Zimmer-Wohnung  ,Volkmarsdorf,    54,1049 ,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Volkmarsdorf.3260928.html

Paulinenstr. 9,04315 Leipzig Volkmarsdorf,749,250,01.07.2023,1,"Waschmaschine,Spülmaschine,Gartenmitbenutzung,Fahrradkeller",,,," Guten Tag, 
 ich biete eine komplette 2 ZKB Wohnung an, eine schöne  
 2 Raumwohnung mit Bad inkl. neuwertiger Waschmaschine (AEG) und Küche inkl.Spüle, Geschirrspüler (Bosch), Kühlschrank (Privileg) und Herd (Privileg). 
 Die Wohnung befindet sich in einem sanierten Altbau.  
 Das Haus liegt in einer ruhigen Seitenstrasse (Paulinenstraße) mit zwei Straßenbahnhaltestellen in unmittelbarer Nähe (ca. 150 m, direkte Verbindung zum HBF und zur Uni).  
 Citynah, beste Straßenbahnverbindung 
 Linie 7, 8. 
 Die S-Bahn ist in wenigen Minuten zu Fuß erreichen.Die Wohnung liegt im 2.OG und ist möbliert, sehr hell und ruhig. 
 Der Grundriss ist quadratisch praktisch. Beide Zimmer, Küche und Bad (mit Badwanne) verfügen über große Kunststoff-Fenster und Zentralheizung.  
 Kaltmiete:  749 €
 Nebenkostenvorauszahlung:  250 €  
 Gesamtmiete:999 € 
 Bei den Nebenkosten handelt es sich um eine Vorauszahlung. 
 Es gibt jedes Jahr eine Abrechnung. Bei normalem Verbrauch kann man mit 250 €/ Monat rechnen. Ist der tatsächliche Verbrauch geringer als die Nebenkostenvorauszahlung, bekommt der Mieter die Ersparnis wieder rückerstattet. 
 Dies wird im Mietvertrag auch vereinbart. 
 Insgesamt eine schöne Wohnung in gutem Zustand. 
 Die Miete bezieht sich auf die gesamte Wohnung. 
 Es fallen keine Maklerprovisionen an. 
 Sehr interessantes und beliebtes Viertel bei Studenten und jungen Leuten. Es entstehen auch immer mehr Cafes, Kneipen, internationale Gastronomie, Clubs und Partys. 
 Nähere Informationen unter
 i speak english, je parle francais",,,,,0,,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Volkmarsdorf.6142991.html,2-Zimmer-Wohnung  ,Volkmarsdorf,    58,999 ,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Volkmarsdorf.6142991.html

Paulinenstr. 9,04315 Leipzig Volkmarsdorf,699,250,01.07.2023,1,"Waschmaschine,Spülmaschine,Gartenmitbenutzung,Fahrradkeller",,,," Guten Tag, 
 ich biete eine komplette  2 ZKB Altbauwohnung an,  
 eine schöne 2 Raumwohnung mit Bad inkl. Waschmaschine (AEG) und Küche (inkl.Edelstahl-Spültisch, Kühlschrank (Liebherr),  Herd (Bosch) und  neuer Geschirrspülmaschine (Bosch). 
 Die Wohnung befindet sich in einem sanierten Altbau.  
 Das Haus liegt in der Paulinenstraße, einer ruhigen Seitenstrasse mit zwei Straßenbahnhaltestellen in unmittelbarer Nähe (ca. 150 m Entfernung, direkte Verbindung zum HBF und zur Uni).  
 Citynah, ca. 3 km zur City & Uni, beste Straßenbahnverbindung Linie 7, 8. 
 Die S-Bahn Station Leipzig-Sellerhausen ist in wenigen Minuten zu Fuß erreichen. 
 Die Fahrtzeit zum Hbf Leipzig beträgt 4 Minuten. 
 Die Wohnung liegt im 1.OG, ist ruhig und hell.  
 Der Grundriss ist quadratisch praktisch, beide Zimmer sind in etwa gleich groß.  
 Beide Zimmer , Küche und Bad (mit Badwanne) verfügen über große Isolier-Fenster und Zentralheizung.  
 Kaltmiete:699 €  
 Nebenkostenvorauszahlung:250 €  
 Gesamtmiete:949 € 
 Bei den Nebenkosten handelt es sich um eine Vorauszahlung. 
 Es gibt jedes Jahr eine Abrechnung. Bei normalem Verbrauch kann man mit 250 €/ Monat rechnen.  
 Ist der tatsächliche Verbrauch geringer als die Nebenkostenvorauszahlung, bekommt der Mieter die Ersparnis wieder rückerstattet. 
 Dies wird im Mietvertrag auch vereinbart.  
 Insgesamt eine schöne Wohnung in gutem Zustand. 
 Die Miete bezieht sich auf die gesamte Wohnung. 
 Es fallen keine Maklerprovisionen an. 
 Sehr interessantes und beliebtes Viertel bei Studenten und jungen Leuten.  
 Im Haus wohnen bereits einige Studenten. 
 Es entstehen auch immer mehr Cafes, Kneipen, internationale Gastronomie, Clubs und Partys. 
 Erstanfragen bitte per Email. 
 I speak english, je parle un peu français.",,,,,0,,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Volkmarsdorf.3260933.html,2-Zimmer-Wohnung  ,Volkmarsdorf,    55,949 ,https://www.wg-gesucht.de/wohnungen-in-Leipzig-Volkmarsdorf.3260933.html

Köbisstrasse 5,04317 Leipzig Reudnitz-Thonberg,360,50,14.06.2023,3,"Waschmaschine,Spülmaschine,Terrasse",0,0,0.0," Deine Möglichkeit dir in der 7er WG ein Zimmer zu sichern. Gestalte mit 6 weiteren Personen die WG wie es dir gefällt. Die Wohnung wird teilmöbliert vermietet, das bedeutet in der Wohnung befindet sich bereits eine Küche, eine Waschmaschine, Garderobe, Badmöbel, Lampen und vieles weiteres.  Du selber musst nur dein eigenes Zimmer einrichten. 
 In der Wohnung sind folgende Zimmer frei: 
 Zimmer 1:9qm, 320 warm 
 Zimmer 2:7qm, 290 warm 
 Zimmer 3: 15qm, 420 warm 
 Zimmer 4:9qm, 310 warm 
 Zimmer 5:7qm, 290 warm 
 Zimmer 6: 12qm, 410 warm 
 Zimmer 7: 15qm, 440 warm 
 In der Warmmiete sind 50€ Nebenkosten enthalten."," Die Köbisstrasse ist eine ruhige Seitenstraße im Leipziger Stadtteil Reudnitz-Thonberg. Mit seinen zahlreichen authentischen und charmanten Kneipen und Restaurants, zieht es vor allem junge Menschen in diesen Teil der Stadt. Das Viertel ist bunt, lebendig und natürlich nah am Zentrum. So bist du binnen 3 Gehminuten an der ÖPNV Haltestelle ""Riebeck- /Oststraße"" und zur Uni Leipzig (Zentrum) sind es gerade einmal 2,3km. 
 In der unmittelbaren Umgebung befindet sich der bei Studenten beliebte Lene-Voigt-Park.  
 Zum Einkaufen gibt es in einer Entfernung von 4 Gehminuten einen REWE und ein klein wenig weiter entfernt auch einen Kaufland. 
 In Laufnähe befinden sich weiterhin zahlreiche Fitnessstudios, Ärzte und Cafés.","Da es sich um eine WG-Neugründung handelt, hängt das WG-Leben von euch selbst ab.
 Jeder Mieter erhält einen eigenen Mietvertrag für sein Zimmer. Somit haftet ihr nicht für die Miete der anderen Bewohner."," Besichtigungen sind jeder Zeit möglich. Schreibt mir gern direkt, wann ihr könnt (am besten hier über die Webseite), dann werden wir einen passenden Termin für alle finden.  
 Eine kurze Vorstellung ist erwünscht: Wer seid ihr? Was macht ihr in eurer Freizeit? Was treibt euch nach Leipzig? Wie stellt ihr euch euern WG-Alltag vor? 
 Bei der Miete handelt es sich um die Warmmiete (inklusive der Nebenkosten außer Internet und GEZ). Ihr solltet mindestens für 12 Monate bleiben wollen.",0.0,0,"Studenten-WG, keine Zweck-WG, gemischte WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Reudnitz-Thonberg.10002143.html,7er WG,Reudnitz-Thonberg,    12,410 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Reudnitz-Thonberg.10002143.html

Alfred-Kästner-Straße 35,04275 Leipzig Südvorstadt,450,0,01.08.2023,3,"Waschmaschine,Spülmaschine,Balkon,Fahrradkeller",2,0,0.0," Hello, 
 I am moving in a flat with a friend, so I am looking for a girl who takes my room in my actual flat for a long term period. 
 The room is 16m^2 big and it is completely furnished: bed, mattress, desk, chair, wardrobe, 2 big shelves, 2 smaller shelves for shoes, curtains and a night table. It has 2 windows exposed on the south with a view in the nice Karli, but you won't hear any sound from the outside.  
 The flat is at 1st floor. The kitchen is furnished and there is also a dishwasher. Washing machine and dryer are in a small storage in the entrance. The building has also a bicyclestorage."," The position of the flat is great! Netto and Konsum are very close and there is also an Aldi not far. The tram stop 
 Karl-Liebknecht-Straße/ Kurt Eisner Strasse is at 2 minutes walking.  
 Karl-Liebknecht-Straße offers lot of bar and pubs, the atmosphere around is wonderful! The city center is 15-20 minutes away walking.","You will live with Yara (F), 28 years old from Siria. She is an assistant doctor and a perfect flatmate!
 You will also live for a short time with Malika, because she will also move soon. 
 Cleaning is very important in this flat, indeed we have a schedule to respect and this will still go on with you.",,,0,"Frauen-WG, keine Zweck-WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Suedvorstadt.10140135.html,3er WG,Südvorstadt,    16,450 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Suedvorstadt.10140135.html

Seeburgstraße 3,04103 Leipzig Zentrum,405,25,16.06.2023,,"Waschmaschine,Spülmaschine,Balkon,Gartenmitbenutzung,Keller,Aufzug",1,1,0.0," Hallo liebe potentielle Nachmieter, 
 mit dem Ende meines Studium verlasse ich etwas schweren Herzens Leipzig und meine WG. 
 Das Zimmer versprüht mit ca. 3,50 m hohen Decken und Parkettboden den Charme eines Altbaus. Aber Angst vor bröckelnden Wänden oder klappernden Fenstern, braucht ihr nicht haben, denn alles ist saniert. 
 Das Zimmer ist den ganzen Tag sehr hell und freundlich, da direkt gegenüber von uns nur ein sehr niedriges Haus steht und somit nichts die Lichtzufuhr durch die zwei großen Fenster vermindert. Somitkann euch auch niemand von gegenüber ins Zimmer schauen."," Die Wohnung befindet sich in idealer, zentrumsnaher Lage am Seeburgstraße. Zu den verschiedenen Haltestellen der Öffentlichen mit Anbindung in alle Richtungen (Seeburgstraße, Roßplatz, Wilhelm-Leuschner-Platz, Augustusplatz) sind es höchstens 2 Minuten Fußweg.  
 Die Innenstadt mit allen Einkaufsmöglichkeiten liegt ebenfalls nur 3Minuten entfernt, Supermärkte und Drogeriemarkt sind noch näher in die andere Richtung zu erreichen. 
 Im vierten OG hat man aus dem Zimmerfenster einen schönen Blick zur Innenstadt und dem MDR Turm.",,,,1,"Zweck-WG, Studenten-WG, keine Zweck-WG, gemischte WG",https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Zentrum.9992033.html,3er WG,Zentrum,    17,430 ,https://www.wg-gesucht.de/wg-zimmer-in-Leipzig-Zentrum.9992033.html

Biedermannstraße 9-13,04277 Leipzig Connewitz,250,100,01.07.2023,2,"Waschmaschine,Spülmaschine,Aufzug",1,1,0.0," Es gibt zwei Zimmer zu vergeben. Das eine Zimmer ist etwa 16qm gross das zweite etwas grösser, etwa 18 qm. Beide Zimmer sind hell und ruhig.  
 -------------------------------------------- 
 There are two rooms available.  One room is about 16 square meters, the second is slightly larger, about 18 square meters.  Both rooms are bright and quiet."," (English below) 
 Die Wohnung liegt direkt am Connewitzer Kreuz. Hier befinden sich viele Geschäfte, Restaurants, Veranstaltungsorte und Bars in der Nähe. Von der Wohnung ist man auch in ein paar Minuten im Wald und am Fluss, oder mit dem Rad am See. Die nächsten Straßenbahnhaltestellen sind ganz in der Nähe. 
 -------------------------------------------------------------------------- 
 The apartment is right on the Connewitzer Kreuz.  There are many shops, restaurants, entertainment venues and bars nearby.  From the apartment you can be in the forest and on the river in a few minutes, or by bike on the lake.  The nearest tram stops are very close by.","(English below) 
 Hallo :) 
 Wir sind Clemens und Lola und wir wohnen seit kurzem in dieser wunderschöne Wohnung in Connewitz. Wir suchen jetzt noch nach zwei weitere Personen, die hier mit uns einziehen möchten und Lust auf Gemeinschaft haben, das heißt gemeinsam kochen, abends ausgehen, auf Ausflüge gehen, Spiele spielen, Filme schauen etc. Schreibt einfach ein bisschen über euch, was ihr so macht, was ihr gerne in Leipzig macht etc.
 Kurz noch zu uns: 
 Lola kümmert sich gerne um Pflanzen, sie hat sich in unserer letzten WG viel um den Balkon und den Garten gekümmert. Sie hat wechselnde Hobbies und fühlt sich v.a. im Element Wasser zuhause und wird im Sommer viel an den Seen Leipzigs sein. Sie kommt ursprünglich aus Albanien und arbeitet als Ärztin in der Kinder und Jugendpsychatrie. 
 Clemens war bis vergangenen Jahres in der Krebsforschung aktiv. Dieses Jahr nimmt er sich ein Jahr freiund macht viel Musik. Er geht auf Jam sessions und macht elektronische Musik und Videos.(@schuh_mischlingshund). Er geht gerne im Park spazieren und ließt dann ein gutes Buch. Donnerstags geht er zum Acroyoga und ab und zu zum Squash oder Badminton . Wir haben schon früher oft in grossen Wohngemeinschaften zusammengelebt und würden das auch gerne fortsetzen :)
 Es ist eine Neubauwohnung im vierten Stock (Das Gebäude hat aber einen Aufzug, Glück gehabt ;) ). Die Zimmer sind ausreichend groß und es gibt eine große Küche und ein riesiges, helles Wohnzimmer (über 30 qm).
 Also haut in die Tasten und schickt uns eine Nachricht, wir freuen uns über alle Anfragen :) 
 --------------------------------------------------------------------------- 
 Hello :) 
We are Clemens and Lola and we have been living in this beautiful apartment in Connewitz for a short time.We are now looking for two more people who would like to move in with us and would like to socialize, i.e. cook together, go out in the evenings, go on excursions, play games, watch films etc. Just write a little bit about yourself, what you thinkdo what you like to do in Leipzig etc. 
Briefly about us: 
Lola likes to take care of plants, she took care of the balcony and the garden a lot in our last flat share.She has changing hobbies and feels particularly at home in the element of water and will spend a lot of time at the lakes in Leipzig in the summer.She is originally from Albania and works as a doctor in child and adolescent psychiatry. 
